filename,description
Georges Seruat/George seurat      paul-signac-antibes-soir (1).jpg,"a painting of a village on the water with trees
"
Georges Seruat/Georges_Seurat Boy sitting in a meadow[.jpg,"a painting of a boy sitting in the grass
"
Mary Cassatt/The Cup of Tea_Mary Cassatt.jpg,"a painting of a woman in a pink dress sitting on a chair
"
Mary Cassatt/Head of a Young Woman_Mary Cassatt.jpg,"a watercolor painting of a woman with a hat
"
Mary Cassatt/Breakfast in Bed_Mary Cassatt.jpg,"a painting of two children laying in bed
"
Mary Cassatt/Nursing_Mary Cassatt.jpg,"a drawing of a woman holding a baby
"
Mary Cassatt/Woman with a Pearl Necklace in a Loge_Mary Cassatt.jpg,"a painting of two women in a ballroom
"
Mary Cassatt/A Woman and Her Dog_Mary Cassatt.jpg,"a painting of a woman sitting on a couch with a dog
"
Mary Cassatt/Self-Portrait_Mary Cassatt.jpg,"a painting of a woman in a white dress and hat sitting on a chair
"
Mary Cassatt/Woman Reading_Mary Cassatt.jpg,"a painting of a woman reading a newspaper
"
Mary Cassatt/The Letter_Mary Cassatt.jpg,"a woman in blue and white sitting at a desk
"
Mary Cassatt/After the Bath_Mary Cassatt.jpg,"a painting of three women and a child
"
Mary Cassatt/Ellen Mary Cassatt in a Pink Dress_Mary Cassatt.jpg,"a painting of a little girl sitting in a chair
"
Mary Cassatt/The Family_Mary Cassatt.jpg,"a painting of three women and a baby
"
Mary Cassatt/Head of a Young Girl_Mary Cassatt.jpg,"a painting of a woman sitting on a chair
"
Mary Cassatt/The Loge_Mary Cassatt.jpg,"a painting of two women in white dresses holding a fan
"
Mary Cassatt/Lydia Seated on a Porch_Mary Cassatt.jpg,"a painting of a woman sitting on a bench near a river
"
Mary Cassatt/Seated Woman with a Fan_Mary Cassatt.jpg,"a painting of a woman sitting in a chair
"
Mary Cassatt/The Barefoot Child_Mary Cassatt.jpg,"a woman holding a baby in her lap
"
Mary Cassatt/Sara in a Green Bonnet_Mary Cassatt.jpg,"a painting of two children wearing green hats
"
Mary Cassatt/The Child_s Bath_Mary Cassatt.jpg,"a painting of a woman and child sitting on the floor
"
Mary Cassatt/Young Mother Sewing_Mary Cassatt.jpg,"a painting of a woman and child sitting in a chair
"
"Mary Cassatt/The Artist_s Sister, Lydia, at the Window_Mary Cassatt.jpg","a painting of a woman sitting on a chair
"
Mary Cassatt/At the Opera_Mary Cassatt.jpg,"a painting of a woman sitting in a theater
"
Mary Cassatt/Little Girl in a Blue Armchair_Mary Cassatt.jpg,"a painting of a child in a blue chair
"
Mary Cassatt/Mother and Child_Mary Cassatt.jpg,"a painting of a woman and child sitting on a chair
"
Mary Cassatt/Mother Combing Sara_s Hair_Mary Cassatt.jpg,"a painting of a woman brushing her hair
"
Mary Cassatt/The Boating Party_Mary Cassatt.jpg,"a painting of a family in a boat on the water
"
Robert Delauny Mohit/Robert_Delaunay_-_Portuguese_Woman_-_1916_-_Thyssen-Bornemisza_Museum.jpg,"a painting of a woman with a basket of flowers
"
"Robert Delauny Mohit/375px-Robert_Delaunay,_1913,_L_Équipe_de_Cardiff,_oil_on_canvas,_326_×_208_cm,_Musée_d_Art_Moderne_de_la_ville_de_Paris.jpg","a painting of a group of men playing soccer
"
"Robert Delauny Mohit/Yvan_Goll,_Surréalisme,_Manifeste_du_surréalisme,_Volume_1,_Number_1,_October_1,_1924,_cover_by_Robert_Delaunay.jpg","a book cover with a drawing of a man in a room
"
Robert Delauny Mohit/Robert_Delaunay_-_Jean_Metzinger_-.jpg,"a painting of a man with a mustache and a tie
"
"Robert Delauny Mohit/Robert_Delaunay,_Rythmes,_1934.jpg","a painting with circles and circles in different colors
"
"Robert Delauny Mohit/Robert_Delaunay,_c.1906,_Paysage_au_disque_solaire,_oil_on_canvas,_54_x_46_cm,_Musée_National_d_Art_Moderne.jpg","a painting of a moon over a garden
"
"Robert Delauny Mohit/-GUGG_Windows_Open_Simultaneously_1st_Part,_3rd_Motif.jpg","a circular rug with abstract shapes on it
"
"Robert Delauny Mohit/-Robert_Delaunany,_Musée_d_Art_Moderne_de_la_Ville_de_Paris.jpg","a painting of a woman in a white dress sitting on a chair
"
Robert Delauny Mohit/Robert_Delaunay_-_Hommage_to_Blériot_-_1914_-_Museum_of_Grenoble.jpg,"a painting with colorful circles and shapes
"
Robert Delauny Mohit/Robert_Delaunay_Nature_morte_au_vase_de_fleurs_c1907.jpg,"a painting of a table with flowers and a vase
"
Robert Delauny Mohit/Delaunay_Portuguese_Woman.jpg,"a painting of a woman with a flower pot
"
Robert Delauny Mohit/GUGG_Carousel_of_Pigs_ Robert delauny.jpg,"a painting of a woman and a man in a park
"
"Robert Delauny Mohit/Robert_Delaunay,_Durchblick_auf_den_Eiffelturm,_1910.jpg","a painting of the eiffel tower with curtains
"
Robert Delauny Mohit/Robert_Delaunay_L_Équipe_de_Cardiff_1913_Eindhoven.jpg,"an abstract painting with people playing in front of a sign
"
"Robert Delauny Mohit/Robert_Delaunay,_Der_Eiffelturm,_1910.jpg","a painting of the eiffel tower with smoke coming out of it
"
"Robert Delauny Mohit/Robert_Delaunay,_1926,_Tour_Eiffel,Musée_d_Art_Moderne_de_la_ville_de_Paris.jpg","painting - eiffel tower by josephine marie
"
Robert Delauny Mohit/GUGG_Circular_Forms Robert delauny.jpg,"an abstract painting with circles and circles
"
"Robert Delauny Mohit/Robert_Delaunay,_1913,_L_Équipe_de_Cardiff,_oil_on_canvas,_326_×_208_cm,_Musée_d_Art_Moderne_de_la_ville_de_Paris.jpg","a painting of a soccer game with players and a ball
"
Robert Delauny Mohit/GUGG_Eiffel_Tower Robert delauny.jpg,"a drawing of the eiffel tower on paper
"
"Robert Delauny Mohit/-Robert_Delaunay,_1913,_Premier_Disque,__Private_collection.jpg","a painting with a circle of colors on it
"
"Robert Delauny Mohit/Robert_Delaunay,_1907,_Portrait_of_Wilhelm_Uhde.jpg","a painting of a man in a suit with a red tie
"
"Robert Delauny Mohit/Robert_Delaunay,_1912,_Les_Fenêtres_simultanée_sur_la_ville_(Simultaneous_Windows_on_the_City),_40_x_46_cm,_Kunsthalle_Hamburg.jpg","a painting with a square frame and a colorful abstract painting
"
Robert Delauny Mohit/Robert_Delaunay_-_autoportrait.jpg,"a painting of a man in a suit and tie
"
Robert Delauny Mohit/Robert_Delaunay_-_Eiffel_tower_-_1909_-_Philadelphia_Museum_of_Art.jpg,"the eiffel tower in the background canvas print
"
"Robert Delauny Mohit/Robert_Delaunay,_1911-12,_Window_on_the_City_No._3,_Solomon_R._Guggenheim_Museum.jpg","a painting with many different shapes and colors
"
Robert Delauny Mohit/Robert_Delaunay_L_homme_à_la_tulipe_(Portrait_de_Jean_Metzinger)_1906.jpg,"a painting of a man in a hat and suit with a flower
"
Robert Delauny Mohit/Robert_Delaunay_Nature_morte_au_perroquet.jpg,"a painting of a vase with flowers and a bird
"
Robert Delauny Mohit/Delaunay_ChampDeMars.jpg,"the eiffel tower, 1913 by person
"
Robert Delauny Mohit/GUGG_Saint-Séverin_No._3_Robert delauny.jpg,"a painting of a gothic cathedral with arches
"
"Robert Delauny Mohit/Robert_Delaunay,_1938,_Rythme_n°1,_Decoration_for_the_Salon_des_Tuileries,_oil_on_canvas,_Musée_d_Art_Moderne_de_la_ville_de_Paris.jpg","a painting with a circular design in different colors
"
Baiju Parthan/baiju-parthan-cityscape-(diptych).jpg,"two paintings of men in hats and one with a man in a hat
"
Baiju Parthan/baiju-parthan-caffeine---sense-and-infinity.jpg,"a painting with a man in a suit and a bird on a table
"
Baiju Parthan/baiju-parthan-soft-equinox (1).jpg,"the cover of the book, the book of the future
"
Baiju Parthan/baiju-parthan-base-metal-2.jpg,"the cover of the album, 'the new world order'
"
Baiju Parthan/baiju-parthan-deontology---arrival-of-the-knowledge-self.jpg,"the cover of the book, the book of the dead
"
Baiju Parthan/baiju-parthan-untitled (1).jpg,"a painting of a pear with a red line around it
"
Baiju Parthan/baiju-parthan-caput-mortum--7.jpg,"a painting of a skeleton with a gun and a skeleton with a gun
"
Baiju Parthan/baiju-parthan-untitled.jpg,"a painting with a man walking through a field of skulls
"
Baiju Parthan/baiju-parthan-the-jestor.jpg,"a painting with a man holding a knife and a bird
"
Baiju Parthan/baiju-parthan-post---hypnotic-journal---2.jpg,"a poster with a statue of a man on it
"
Baiju Parthan/baiju-parthan-sprout.jpg,"a watercolor painting of the zodiac sign aries
"
Baiju Parthan/baiju-parthan-spill-(soft-graffiti).jpg,"a painting of two cars with a helicopter flying over them
"
Baiju Parthan/baiju-parthan-the-way.jpg,"a painting with a man and a bird on it
"
Baiju Parthan/baiju-parthan-red-shift_-displaced-coat-of-arms.jpg,"a painting with a blue lion on a yellow background
"
Baiju Parthan/baiju-parthan-legacy-(work-force).jpg,"the cover of a book with a man in a white shirt
"
Baiju Parthan/baiju-parthan-ethnography---spectacle-and-artifice (1).jpg,"the cover of a book with two men boxing
"
Baiju Parthan/baiju-parthan-chromium-breath---primetime-embodiment.jpg,"a painting with a black man sitting on a chair
"
Baiju Parthan/baiju-parthan-spirit-garden-–-1.jpg,"the cover of the book, the book of the dead
"
Baiju Parthan/baiju-parthan-layers-of-significance.jpg,gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gand
"Baiju Parthan/baiju-parthan-untitled,-2009.jpg","the cover of a book with a fish on it
"
Baiju Parthan/baiju-parthan-engineered-fruit-(commemorating-a-lost-object).jpg,"a painting of a pear with a car and other objects
"
Baiju Parthan/baiju-parthan-archeology-kerala-1 (1).jpg,"a painting of a man working on a car
"
Baiju Parthan/-proxy-self-(object-of-desire).jpg,"two paintings of a man and a pear
"
Baiju Parthan/baiju-parthan-vicious-happiness.jpg,"the cover of the book, no, by james taylor
"
Franz Marc/Franz Marc_The Lamb.png,"a painting with a green, blue and yellow background
"
Franz Marc/Franz Marc_Deer in the Snow.png,"a painting of two deer in the snow
"
Franz Marc/Franz Marc_Blue Horse II.png,"a painting of a horse standing in front of a colorful background
"
Franz Marc/Franz Marc_Blue Horse I.jpg,"a painting of a horse with a blue mane
"
Franz Marc/Franz Marc_Fighting Forms.png,"a painting of a red horse with a black and blue background
"
Franz Marc/Franz Marc_Tiger.png,"a painting of a tiger laying down on a green background
"
"Franz Marc/Franz Marc_Two Cats, Blue and Yellow.png","a painting of two cats and a dog
"
Franz Marc/Franz Marc_Broken Forms.png,"an abstract painting with a red, blue, yellow and green background
"
Franz Marc/Franz Marc_Elephant.png,"elephant drawing by person
"
Franz Marc/Franz Marc_Fate of the Animals.png,"a painting with a red, blue and green background
"
Franz Marc/Franz Marc_Red Deer.png,"a painting of two deer in the grass
"
Franz Marc/Franz Marc_The Foxes.png,"a painting of a red fox with a red tail
"
Franz Marc/Franz Marc_Little Yellow Horses.png,"a painting of three horses standing in a field
"
Franz Marc/Franz Marc_The Small Yellow Horses.png,"a painting of three horses standing together
"
Franz Marc/Franz Marc_Cheerful Horse.png,"a painting of horses with a rainbow in the background
"
Franz Marc/Franz Marc_The First Animals.png,"a painting of two horses and a donkey
"
Franz Marc/Franz Marc_Grazing Horses IV.png,"a painting of three horses in a field
"
Franz Marc/Franz Marc_The Large Blue Horses.png,"a painting of three horses in blue and red
"
Franz Marc/Franz Marc_The White Cat.png,"a painting of a white cat curled up on a yellow pillow
"
Franz Marc/Franz Marc_Playing Dogs.png,"a painting of dogs and a dog running in the grass
"
Franz Marc/Franz Marc_Deer in the Forest.png,"a painting with animals in the woods
"
Franz Marc/Franz Marc_The Tower of Blue Horses.png,"a painting of horses with a rainbow in the background
"
Franz Marc/Franz Marc_Birds.png,"a painting with colorful shapes and colors
"
Franz Marc/Franz Marc_Yellow Cow.png,"a painting of a yellow cow with a black and white cat
"
Camille Pissaro/The Côte des Bœufs at L’Hermitage (1877).png,"a painting of a road through a wooded area
"
Camille Pissaro/Apple Picking at Éragny-sur-Epte (1888).png,"a painting of people picking apples in a field
"
"Camille Pissaro/The Côte des Bœufs, Pontoise (1877).jpg","a painting of a house in the woods with trees
"
"Camille Pissaro/Jalais Hill, Pontoise (1867).jpg","a painting of a road leading to a hillside
"
Camille Pissaro/The Road to Versailles at Louveciennes (1869).jpg,"a painting of a street in the snow with people walking down it
"
"Camille Pissaro/The Church of Saint-Jacques, Dieppe (1901).jpeg","a painting of a large cathedral with people in the street
"
"Camille Pissaro/The Hay Cart, Montfoucault (1879).jpeg","a painting of a farm with horses and hay
"
"Camille Pissaro/Fog, Morning, Rouen (1896).jpeg","a painting of a bridge over the river thames
"
"Camille Pissaro/A Cowherd at Valhermeil, Auvers-sur-Oise (1874).jpeg","a painting of a path in the grass with trees and a house
"
"Camille Pissaro/Peasants in the Fields, Éragny (1890).jpeg","the ploughman, 1887 by person
"
"Camille Pissaro/Spring Morning, Cloudy, Éragny (1900).jpeg","an apple orchard in spring, 1887, by person
"
Camille Pissaro/View of Rouen (1898).jpg,"a painting of a city with smoke coming out of the chimneys
"
Camille Pissaro/Hay Harvest at Éragny (1901).jpg,"a painting of women working in the field
"
Camille Pissaro/The Harvest (1882).jpeg,"the harvest, 1887, by person
"
Camille Pissaro/The Banks of the Oise near Pontoise (1873).png,"a painting of a road with people walking along it
"
Camille Pissaro/The Crystal Palace (1871).jpeg,"a painting of a street with people walking and cars
"
"Camille Pissaro/The Quai Saint-Sever, Rouen (1896).jpg","a painting of a city with smoke coming out of the chimneys
"
"Camille Pissaro/The Great Bridge, Rouen (1896).jpeg","a painting of boats on the river with buildings in the background
"
"Camille Pissaro/Morning, An Overcast Day, Rouen (1896).jpeg","a painting of a city with a bridge and smoke coming out of it
"
"Camille Pissaro/Boulevard Montmartre, Spring (1897).jpg","a painting of a street with people walking and cars driving
"
"Camille Pissaro/Poultry Market, Pontoise (1882).jpeg","the market at the market
"
"Camille Pissaro/Place du Théâtre Français, Paris (1898).jpg","a painting of a street with people walking and cars driving
"
Camille Pissaro/The Chestnut Trees at Osny (1873).jpeg,"a painting of trees in a field with a person walking through it
"
Camille Pissaro/The Boulevard Montmartre at Night (1897).jpeg,"a painting of a street at night with people walking
"
"Camille Pissaro/The Pont Boieldieu in Rouen, Rainy Weather (1896).jpg","a painting of a bridge over the river with people walking on it
"
"Camille Pissaro/The Louvre, Afternoon, Rainy Weather (1900).jpeg","a painting of a river with boats on it
"
Camille Pissaro/The Garden of the Tuileries on a Winter Afternoon (1899).jpg,"a painting of a park with people walking around
"
Camille Pissaro/The Hermitage at Pontoise (1867).jpeg,"a painting of a village with people walking down the road
"
"Camille Pissaro/Pont Neuf, Afternoon, Sunshine (1901).jpeg","the seine bridge, paris, 1884
"
"Camille Pissaro/Orchard in Bloom, Louveciennes (1872).jpeg","a painting of an apple tree in bloom
"
"Camille Pissaro/The Red Roofs, Corner of a Village, Winter (1877).jpeg","a painting of houses on a hillside
"
"Camille Pissaro/Place de la République, Rouen (1883).jpeg","a painting of people and horses in a town square
"
Camille Pissaro/Sunset at Éragny (1890).jpeg,"a painting of a field with trees and a sun setting
"
"Camille Pissaro/Two Women Chatting by the Sea, St. Thomas (1856).jpg","a painting of two women walking on a dirt road
"
